id_persona,id_hogar,departamento,area,sexo,edad,ocupado,ingreso,factor_expansion
122,267,Valle,Urbana,H,57,1,1071000.0,340.17
707,383,Bogota,Urbana,H,86,1,1054000.0,159.15
927,304,Antioquia,Urbana,M,70,0,,167.1
340,346,Antioquia,Urbana,M,20,1,1812000.0,340.59
446,309,Santander,Urbana,H,17,0,,376.44
699,325,Santander,Urbana,H,0,,,379.41
834,42,Valle,Rural,M,80,1,869000.0,363.17
629,267,Antioquia,Urbana,H,77,0,,327.47
867,218,Antioquia,Urbana,M,67,1,918000.0,385.91
970,291,Narino,Rural,M,58,0,,337.63
670,211,Antioquia,Urbana,M,26,1,902000.0,238.67
144,363,Antioquia,Urbana,M,54,0,,365.19
1118,325,Narino,Rural,H,73,1,2244000.0,455.5
73,335,Valle,Urbana,H,20,1,1792000.0,348.67
682,246,Valle,Urbana,M,77,1,676000.0,389.19
228,309,Bogota,Rural,H,45,1,1752000.0,176.95
657,130,Bogota,Urbana,H,83,1,1971000.0,296.0
62,195,Valle,Urbana,H,52,0,,141.62
351,173,Narino,Urbana,H,15,0,,297.24
158,180,Bogota,Urbana,M,33,1,1471000.0,403.88
976,263,Narino,Urbana,M,72,0,,412.4
120,325,Bogota,Rural,M,23,0,,351.39
731,68,Bogota,Urbana,M,45,1,1218000.0,415.28
59,392,Antioquia,Urbana,M,18,0,,271.01
1060,142,Bogota,Urbana,M,1,,,245.93
860,84,Bogota,Urbana,H,23,1,2206000.0,297.95
507,376,Antioquia,Rural,M,52,1,1984000.0,292.85
169,229,Santander,Urbana,H,52,1,1114000.0,354.55
325,194,Antioquia,Urbana,M,64,1,1568000.0,227.24
785,223,Narino,Rural,M,73,1,1145000.0,194.83
312,379,Bogota,Urbana,M,40,1,655000.0,388.36
871,147,Valle,Urbana,H,45,1,2216000.0,175.81
639,211,Santander,Rural,H,41,1,963000.0,241.59
147,225,Valle,Urbana,H,61,1,3926000.0,340.74
556,255,Bogota,Urbana,M,62,1,1786000.0,291.62
449,251,Valle,Urbana,H,27,1,1186000.0,237.39
1077,128,Bogota,Rural,M,17,1,1285000.0,183.17
943,330,Narino,Urbana,M,68,1,1401000.0,158.84
86,365,Valle,Urbana,H,15,1,1187000.0,361.85
500,241,Valle,Urbana,H,21,1,1123000.0,449.81
1099,206,Valle,Urbana,M,83,1,,178.71
294,23,Narino,Urbana,H,42,1,1958000.0,191.1
378,345,Valle,Rural,M,41,1,1224000.0,287.95
304,374,Antioquia,Urbana,H,44,1,,212.63
676,143,Bogota,Urbana,H,33,1,2204000.0,416.44
104,133,Santander,Urbana,H,24,0,,393.39
998,317,Bogota,Urbana,M,80,0,,387.74
244,179,Santander,Urbana,H,50,0,,374.42
775,123,Bogota,Urbana,M,4,,,440.32
988,165,Antioquia,Urbana,H,59,0,,236.89
528,358,Bogota,Urbana,M,39,1,1812000.0,121.75
322,91,Antioquia,Urbana,M,86,1,1721000.0,263.67
1065,13,Valle,Urbana,H,6,,,220.2
807,44,Bogota,Urbana,H,72,1,669000.0,217.64
869,111,Bogota,Urbana,M,62,1,,175.31
722,361,Bogota,Urbana,M,1,,,173.37
693,347,Antioquia,Urbana,H,42,1,1782000.0,226.6
377,78,Valle,Urbana,M,3,,,360.85
640,305,Antioquia,Urbana,H,86,0,,338.16
453,211,Bogota,Urbana,M,35,0,,282.27
709,123,Santander,Urbana,M,0,,,454.12
952,299,Bogota,Urbana,H,66,0,,211.8
145,265,Valle,Rural,M,69,1,1485000.0,255.92
472,249,Valle,Urbana,H,40,1,1815000.0,350.72
315,64,Bogota,Urbana,H,61,0,,208.18
4,78,Antioquia,Urbana,M,62,0,,401.91
329,124,Bogota,Urbana,H,42,0,,164.42
910,368,Valle,Rural,M,12,,,245.78
96,370,Antioquia,Rural,M,72,0,,242.94
964,185,Valle,Rural,M,72,0,,151.07
267,395,Bogota,Urbana,H,24,0,,403.36
408,325,Valle,Rural,M,5,,,387.57
886,29,Narino,Urbana,H,59,0,,136.96
250,350,Bogota,Urbana,M,53,1,1751000.0,266.1
217,151,Antioquia,Urbana,H,35,0,,237.32
289,249,Antioquia,Urbana,H,26,1,2306000.0,274.56
1082,114,Bogota,Urbana,M,50,1,916000.0,291.63
741,343,Valle,Rural,M,70,0,,149.0
812,115,Santander,Urbana,M,45,0,,262.63
929,29,Valle,Rural,M,44,1,1638000.0,283.23
432,197,Antioquia,Urbana,H,9,,,215.57
74,253,Bogota,Urbana,H,16,1,1316000.0,412.2
561,220,Santander,Urbana,M,70,1,1911000.0,292.44
174,224,Bogota,Rural,M,27,1,966000.0,396.28
713,279,Antioquia,Urbana,M,40,1,1226000.0,190.65
1093,380,Narino,Urbana,H,12,,,159.77
138,168,Valle,Urbana,M,19,0,,437.39
191,238,Antioquia,Urbana,M,76,0,,321.76
240,164,Bogota,Urbana,H,34,0,,202.13
753,193,Antioquia,Urbana,H,66,0,,441.98
92,230,Bogota,Urbana,M,2,,,120.48
211,360,Antioquia,Rural,M,34,0,,280.96
613,375,Antioquia,Urbana,M,40,0,,376.2
588,364,Bogota,Urbana,H,12,,,221.68
781,289,Valle,Urbana,M,19,0,,303.46
527,4,Bogota,Urbana,H,41,1,2758000.0,260.33
593,141,Antioquia,Urbana,H,77,0,,272.31
401,13,Bogota,Urbana,M,51,1,773000.0,377.49
379,242,Antioquia,Urbana,M,57,1,1862000.0,191.96
116,273,Narino,Urbana,M,0,,,319.47
1106,246,Santander,Rural,M,77,1,1122000.0,277.4
473,128,Antioquia,Urbana,H,41,1,848000.0,411.33
1185,281,Bogota,Urbana,M,35,1,1371000.0,208.4
1150,356,Narino,Urbana,M,83,0,,173.03
541,2,Bogota,Rural,H,61,1,2673000.0,340.55
28,149,Antioquia,Urbana,H,34,0,,249.09
828,268,Valle,Rural,M,65,0,,229.4
523,222,Bogota,Urbana,M,46,0,,444.08
382,260,Santander,Urbana,M,2,,,170.73
529,117,Narino,Urbana,M,82,1,,377.25
1067,16,Santander,Urbana,H,67,1,,293.71
1124,128,Santander,Urbana,M,89,1,2582000.0,403.6
957,192,Antioquia,Urbana,H,15,0,,124.28
424,383,Narino,Rural,M,46,1,1415000.0,383.4
767,185,Antioquia,Urbana,H,9,,,201.18
132,203,Santander,Rural,H,31,1,946000.0,145.45
990,220,Antioquia,Urbana,M,36,1,1789000.0,319.63
236,218,Bogota,Urbana,M,13,,,321.35
850,51,Antioquia,Urbana,H,53,1,1714000.0,345.24
1054,341,Valle,Urbana,M,75,1,1713000.0,329.34
958,89,Valle,Rural,M,25,0,,131.85
720,223,Valle,Urbana,H,70,1,902000.0,273.99
1029,108,Bogota,Urbana,H,43,0,,397.62
567,265,Bogota,Urbana,M,64,1,3230000.0,457.66
198,241,Bogota,Urbana,M,83,0,,437.91
742,322,Antioquia,Urbana,M,14,,,443.69
747,91,Santander,Urbana,M,49,1,3594000.0,462.29
1006,278,Bogota,Rural,H,12,,,189.25
915,338,Bogota,Rural,M,57,1,912000.0,325.61
256,130,Antioquia,Urbana,H,76,1,702000.0,131.08
994,342,Antioquia,Urbana,M,23,0,,261.71
344,230,Narino,Urbana,M,30,0,,286.76
902,210,Santander,Urbana,H,89,1,3491000.0,123.52
989,356,Narino,Urbana,H,29,0,,440.83
358,383,Bogota,Urbana,M,81,1,890000.0,345.36
1081,7,Santander,Urbana,M,29,0,,252.73
440,141,Santander,Urbana,M,88,1,1635000.0,184.94
510,169,Bogota,Urbana,H,81,0,,448.64
270,351,Valle,Urbana,H,56,0,,313.23
954,369,Santander,Urbana,M,75,1,2320000.0,411.51
503,139,Santander,Urbana,M,2,,,183.22
1199,199,Valle,Urbana,M,9,,,373.06
993,322,Valle,Urbana,H,48,1,747000.0,190.34
844,281,Antioquia,Urbana,H,52,0,,348.03
194,288,Antioquia,Rural,M,12,,,276.72
66,289,Antioquia,Urbana,M,52,0,,438.48
679,372,Antioquia,Rural,H,2,,,132.25
601,22,Bogota,Urbana,M,28,1,,237.19
779,64,Bogota,Urbana,M,63,0,,176.47
81,90,Valle,Urbana,H,56,0,,344.68
1139,125,Valle,Urbana,H,36,1,585000.0,153.31
985,335,Santander,Urbana,H,74,1,1276000.0,377.39
727,315,Valle,Rural,H,75,0,,324.4
919,30,Narino,Urbana,H,81,1,1875000.0,153.68
1145,346,Bogota,Urbana,M,24,1,828000.0,306.63
457,277,Valle,Urbana,H,80,0,,174.87
84,271,Bogota,Urbana,H,71,0,,132.15
1189,245,Santander,Urbana,M,14,,,132.92
688,248,Valle,Urbana,M,66,0,,324.2
422,217,Bogota,Urbana,H,40,0,,440.33
324,107,Narino,Urbana,H,87,1,3513000.0,298.14
522,16,Narino,Rural,H,39,1,675000.0,403.92
5,334,Bogota,Urbana,M,82,1,1667000.0,241.08
719,42,Valle,Urbana,H,79,1,1744000.0,240.94
387,106,Antioquia,Urbana,H,7,,,320.56
240,164,Bogota,Urbana,H,34,0,,202.13
904,158,Valle,Urbana,M,20,1,,186.32
683,246,Antioquia,Urbana,H,17,1,2480000.0,203.01
127,71,Valle,Urbana,H,1,,,416.0
762,295,Narino,Rural,M,31,1,1600000.0,190.19
140,124,Bogota,Urbana,H,71,1,1278000.0,373.57
2,391,Valle,Rural,H,38,1,546000.0,368.66
82,70,Bogota,Urbana,M,40,0,,267.64
750,71,Santander,Rural,M,79,1,1170000.0,413.49
264,141,Bogota,Urbana,H,88,1,1037000.0,407.52
559,134,Santander,Urbana,H,8,,,349.0
669,206,Bogota,Urbana,M,46,0,,331.59
723,182,Valle,Urbana,M,27,0,,392.86
604,126,Antioquia,Rural,M,20,1,1916000.0,377.26
649,214,Narino,Urbana,M,44,0,,303.61
163,282,Santander,Rural,M,68,1,2138000.0,422.8
52,23,Bogota,Urbana,H,78,1,1126000.0,366.23
32,250,Santander,Urbana,M,40,0,,473.44
524,271,Bogota,Urbana,M,59,0,,409.48
176,121,Santander,Urbana,M,3,,,223.85
170,37,Bogota,Urbana,H,58,1,911000.0,314.87
832,34,Valle,Urbana,M,80,1,586000.0,468.91
530,81,Bogota,Urbana,M,57,0,,152.22
624,80,Narino,Urbana,H,43,1,883000.0,186.52
381,78,Antioquia,Urbana,H,27,1,1897000.0,224.43
288,5,Narino,Urbana,M,76,0,,404.6
318,299,Bogota,Urbana,M,84,0,,235.43
942,242,Santander,Urbana,M,72,1,1110000.0,173.63
222,228,Valle,Urbana,M,0,,,267.41
100,36,Antioquia,Urbana,H,56,0,,214.19
1123,261,Bogota,Rural,M,41,0,,457.6
1110,246,Bogota,Urbana,H,4,,,373.07
1003,293,Antioquia,Urbana,H,27,1,1381000.0,243.07
728,260,Valle,Urbana,H,67,1,1053000.0,477.75
133,394,Valle,Urbana,M,0,,,362.27
672,323,Antioquia,Urbana,M,13,,,231.11
8,29,Bogota,Urbana,M,43,1,1071000.0,248.39
207,232,Valle,Urbana,H,53,1,1937000.0,463.33
1157,130,Antioquia,Urbana,M,15,1,1590000.0,160.95
430,39,Santander,Urbana,M,24,1,1309000.0,123.47
205,398,Bogota,Urbana,M,79,1,1921000.0,217.55
1161,262,Antioquia,Rural,H,48,0,,364.53
291,270,Bogota,Urbana,M,14,,,195.66
825,289,Antioquia,Urbana,H,66,1,2528000.0,153.27
757,223,Valle,Urbana,H,69,0,,197.56
29,362,Bogota,Urbana,M,12,,,413.03
594,99,Valle,Rural,M,39,1,596000.0,459.02
571,129,Bogota,Urbana,H,65,1,1890000.0,136.26
764,38,Bogota,Urbana,M,40,1,1300000.0,324.56
190,147,Narino,Urbana,H,56,1,2244000.0,263.23
109,257,Bogota,Rural,H,36,0,,198.96
684,196,Narino,Rural,H,75,1,2270000.0,260.73
1135,380,Valle,Urbana,H,70,0,,163.65
1063,184,Antioquia,Urbana,H,64,1,,338.67
854,64,Bogota,Rural,M,40,0,,201.43
23,18,Valle,Urbana,H,4,,,290.27
851,110,Antioquia,Urbana,M,36,0,,353.15
704,96,Santander,Urbana,H,75,0,,384.51
1105,257,Bogota,Urbana,H,27,1,1720000.0,448.28
1130,212,Santander,Rural,H,57,0,,270.09
1180,348,Antioquia,Urbana,H,28,0,,260.45
94,270,Antioquia,Urbana,H,53,1,1439000.0,252.82
981,268,Antioquia,Urbana,M,4,,,272.35
225,35,Antioquia,Rural,H,86,0,,443.3
880,254,Antioquia,Urbana,H,46,1,2627000.0,206.7
551,205,Bogota,Urbana,M,65,1,2099000.0,258.46
678,211,Valle,Urbana,H,89,1,492000.0,327.01
1102,339,Valle,Urbana,M,18,0,,148.28
991,395,Bogota,Urbana,M,3,,,389.19
429,283,Antioquia,Rural,H,39,0,,210.69
634,158,Bogota,Urbana,H,49,0,,256.94
1137,3,Valle,Urbana,H,69,1,5033000.0,449.8
666,205,Bogota,Urbana,M,72,1,2350000.0,381.43
947,243,Bogota,Urbana,M,2,,,356.15
331,327,Santander,Urbana,M,60,0,,211.59
179,71,Antioquia,Urbana,H,12,,,166.38
982,105,Valle,Urbana,H,70,1,2985000.0,429.61
71,399,Bogota,Rural,H,37,1,1655000.0,175.29
944,372,Narino,Urbana,M,12,,,212.0
1061,333,Santander,Urbana,M,44,0,,130.03
610,268,Bogota,Urbana,H,48,1,1720000.0,301.51
647,141,Valle,Urbana,M,68,0,,374.48
129,118,Antioquia,Rural,H,17,0,,209.28
1001,142,Bogota,Urbana,H,84,1,1102000.0,235.52
1155,24,Narino,Rural,H,5,,,316.99
49,366,Santander,Urbana,M,6,,,230.81
1119,224,Antioquia,Urbana,H,84,1,2142000.0,362.5
633,295,Valle,Urbana,M,50,1,1283000.0,258.51
88,216,Bogota,Rural,M,1,,,288.51
450,232,Santander,Rural,H,12,,,362.94
921,29,Santander,Urbana,M,52,0,,276.5
1108,390,Antioquia,Urbana,M,74,0,,390.48
1079,335,Valle,Rural,H,26,1,668000.0,251.11
438,65,Bogota,Urbana,M,49,1,1366000.0,375.31
131,220,Santander,Urbana,H,53,0,,361.58
1109,128,Santander,Urbana,M,80,1,2037000.0,194.02
271,232,Narino,Urbana,H,88,1,1273000.0,245.52
328,25,Santander,Urbana,H,12,,,403.72
763,394,Antioquia,Urbana,M,59,0,,461.6
791,369,Bogota,Urbana,M,16,1,513000.0,357.33
586,235,Santander,Urbana,M,60,0,,317.99
417,13,Santander,Urbana,M,58,1,2958000.0,297.32
684,196,Narino,Rural,H,75,1,2270000.0,260.73
734,195,Antioquia,Urbana,M,7,,,333.92
156,398,Narino,Rural,M,53,0,,320.41
1153,161,Bogota,Urbana,H,1,,,400.18
416,46,Santander,Rural,H,26,0,,222.74
1184,243,Valle,Rural,H,28,0,,127.72
804,156,Antioquia,Rural,M,66,0,,253.19
31,327,Santander,Urbana,M,51,1,812000.0,147.03
582,210,Antioquia,Urbana,M,13,,,242.72
938,356,Valle,Urbana,M,9,,,375.17
356,11,Valle,Urbana,H,67,1,1506000.0,270.49
770,228,Valle,Rural,M,33,0,,387.6
195,213,Bogota,Urbana,M,57,0,,282.35
1113,194,Bogota,Urbana,H,10,,,137.04
1084,268,Bogota,Urbana,H,77,1,667000.0,192.63
1069,76,Valle,Urbana,M,19,1,1391000.0,469.57
818,375,Valle,Urbana,M,2,,,302.66
180,148,Antioquia,Urbana,H,11,,,368.51
1173,382,Bogota,Urbana,H,13,,,306.51
547,187,Santander,Rural,M,26,1,1599000.0,391.37
1070,271,Antioquia,Urbana,M,38,0,,170.4
11,28,Bogota,Urbana,H,51,1,1057000.0,218.33
355,274,Bogota,Urbana,M,48,0,,469.92
68,162,Santander,Urbana,M,8,,,230.47
1074,200,Antioquia,Urbana,H,10,,,336.1
210,229,Valle,Rural,M,16,0,,182.39
146,154,Bogota,Rural,M,19,1,2252000.0,402.1
973,148,Antioquia,Urbana,M,55,1,985000.0,342.53
857,353,Valle,Urbana,H,26,0,,267.69
955,317,Bogota,Urbana,M,23,0,,437.36
1050,80,Santander,Urbana,H,33,1,2441000.0,261.56
782,278,Bogota,Urbana,H,40,1,2508000.0,425.69
93,222,Bogota,Rural,M,74,0,,307.41
895,69,Valle,Urbana,M,88,0,,250.43
215,396,Antioquia,Urbana,M,85,0,,430.08
360,326,Narino,Rural,H,66,1,938000.0,352.63
540,240,Narino,Urbana,H,14,,,264.07
842,166,Antioquia,Urbana,M,21,0,,208.11
196,346,Valle,Urbana,H,51,1,1413000.0,307.13
297,300,Santander,Rural,M,47,1,3241000.0,345.33
1059,37,Valle,Urbana,M,51,1,987000.0,312.65
870,221,Bogota,Urbana,H,65,1,1505000.0,347.74
392,192,Valle,Urbana,H,85,0,,158.4
479,290,Bogota,Rural,M,7,,,324.14
361,321,Antioquia,Urbana,H,17,0,,194.04
466,257,Bogota,Urbana,M,32,0,,441.36
1046,280,Narino,Urbana,H,60,1,889000.0,244.82
488,110,Narino,Urbana,M,54,0,,331.93
1104,296,Antioquia,Urbana,H,84,1,855000.0,320.72
189,341,Valle,Rural,M,50,0,,358.1
448,5,Antioquia,Urbana,M,89,0,,162.2
87,250,Antioquia,Urbana,M,16,0,,283.5
35,4,Santander,Rural,M,51,1,2755000.0,135.98
200,302,Bogota,Urbana,H,9,,,151.07
636,155,Bogota,Rural,H,20,0,,272.18
892,224,Antioquia,Urbana,M,44,0,,282.05
1169,360,Santander,Urbana,M,1,,,464.8
348,273,Santander,Urbana,M,67,1,1083000.0,149.82
1034,10,Narino,Rural,H,62,0,,402.99
46,74,Valle,Urbana,H,88,1,2363000.0,183.65
465,274,Bogota,Urbana,H,25,0,,338.73
1019,290,Valle,Rural,H,49,1,1590000.0,432.69
932,276,Bogota,Rural,H,79,0,,249.88
1182,104,Bogota,Urbana,H,69,1,539000.0,448.09
819,362,Bogota,Urbana,H,87,0,,369.78
412,126,Bogota,Urbana,H,44,0,,404.13
1,258,Santander,Rural,H,10,,,471.94
1154,356,Valle,Urbana,H,41,0,,230.41
549,387,Valle,Rural,H,46,1,1060000.0,247.42
543,73,Bogota,Rural,M,60,1,942000.0,358.27
451,266,Antioquia,Rural,H,87,1,1185000.0,271.1
716,231,Narino,Rural,H,27,0,,156.46
986,75,Bogota,Urbana,H,60,0,,447.05
1068,244,Santander,Rural,M,47,1,1257000.0,417.8
102,399,Santander,Urbana,M,31,0,,172.42
992,242,Bogota,Rural,M,14,,,457.33
40,227,Bogota,Urbana,H,18,1,1780000.0,292.85
806,389,Antioquia,Urbana,M,83,1,3914000.0,286.87
17,305,Bogota,Urbana,H,49,1,,321.74
810,15,Bogota,Urbana,H,57,1,2479000.0,210.46
823,72,Santander,Urbana,M,86,1,3621000.0,355.43
149,48,Santander,Urbana,H,77,1,498000.0,162.0
621,179,Bogota,Urbana,M,70,1,552000.0,474.97
178,14,Narino,Urbana,H,71,0,,327.59
137,60,Bogota,Urbana,H,54,0,,133.01
337,181,Narino,Urbana,M,56,1,1107000.0,477.83
1040,400,Valle,Urbana,M,32,1,3870000.0,340.99
119,98,Bogota,Urbana,M,14,,,460.4
597,113,Antioquia,Urbana,M,26,1,602000.0,451.22
721,352,Valle,Rural,M,34,0,,187.1
1128,339,Santander,Urbana,H,77,1,5444000.0,228.64
671,62,Antioquia,Urbana,M,56,1,1083000.0,447.39
65,165,Bogota,Urbana,M,60,0,,387.94
550,43,Antioquia,Urbana,M,51,0,,377.34
616,192,Bogota,Urbana,H,35,1,14710000.0,363.77
113,109,Antioquia,Rural,M,43,1,1188000.0,366.26
193,90,Antioquia,Urbana,M,80,1,1354000.0,343.97
756,36,Bogota,Urbana,M,45,1,1749000.0,138.48
394,107,Bogota,Urbana,H,56,1,888000.0,137.67
805,365,Bogota,Urbana,M,63,0,,444.76
555,217,Bogota,Urbana,H,30,0,,154.25
470,146,Valle,Urbana,M,22,1,1375000.0,463.01
724,9,Narino,Urbana,M,80,1,2445000.0,234.15
1192,173,Valle,Urbana,H,9,,,457.34
42,217,Bogota,Urbana,H,74,1,1120000.0,173.12
212,272,Valle,Urbana,M,2,,,420.52
187,343,Valle,Urbana,H,30,1,,189.54
125,379,Antioquia,Rural,H,46,0,,338.42
359,273,Antioquia,Urbana,H,34,0,,404.28
153,46,Santander,Rural,H,7,,,279.52
298,249,Antioquia,Urbana,H,22,1,848000.0,359.42
459,33,Antioquia,Rural,H,11,,,145.17
1057,91,Antioquia,Urbana,M,1,,,450.53
247,10,Bogota,Urbana,H,29,0,,463.01
6,30,Antioquia,Rural,M,57,0,,128.57
592,4,Bogota,Rural,H,45,0,,387.01
47,295,Santander,Rural,M,59,1,2692000.0,322.78
302,75,Antioquia,Urbana,M,33,1,2075000.0,461.81
614,345,Bogota,Rural,H,17,1,1838000.0,323.4
411,356,Bogota,Urbana,M,44,1,1310000.0,136.33
315,64,Bogota,Urbana,H,61,0,,208.18
891,58,Antioquia,Urbana,H,64,0,,391.57
836,179,Valle,Urbana,H,56,0,,131.79
686,54,Valle,Rural,M,33,0,,359.53
665,112,Bogota,Rural,H,30,0,,214.52
833,372,Antioquia,Urbana,M,87,0,,184.7
714,81,Antioquia,Urbana,M,23,0,,471.61
801,327,Valle,Urbana,M,76,1,1502000.0,428.57
884,197,Narino,Urbana,H,37,1,989000.0,197.44
737,349,Bogota,Urbana,H,21,1,1507000.0,159.67
313,319,Antioquia,Rural,H,50,1,1918000.0,362.12
265,370,Bogota,Urbana,M,88,1,1172000.0,448.68
388,239,Valle,Rural,H,65,0,,285.66
885,24,Valle,Urbana,M,27,0,,287.59
171,244,Valle,Urbana,H,88,1,2808000.0,145.41
248,371,Bogota,Urbana,H,6,,,176.6
1032,119,Bogota,Urbana,H,72,1,,349.54
230,150,Narino,Urbana,M,78,0,,353.04
117,172,Santander,Rural,M,69,1,1449000.0,260.04
645,222,Antioquia,Urbana,H,40,1,2339000.0,339.15
566,123,Valle,Urbana,M,32,0,,353.97
1178,83,Valle,Urbana,M,4,,,255.38
421,48,Antioquia,Rural,M,37,1,668000.0,217.07
589,29,Santander,Urbana,H,42,0,,435.28
1158,221,Antioquia,Urbana,H,21,0,,420.13
1115,229,Antioquia,Urbana,H,2,,,364.58
1112,321,Bogota,Rural,M,79,0,,394.59
933,32,Narino,Rural,H,8,,,377.09
79,20,Antioquia,Urbana,M,43,0,,213.6
110,183,Narino,Urbana,M,37,1,755000.0,379.23
458,8,Santander,Urbana,H,55,0,,217.69
769,195,Valle,Urbana,M,2,,,335.61
112,33,Bogota,Urbana,H,69,1,1998000.0,232.39
607,141,Antioquia,Rural,H,81,1,674000.0,177.47
1041,397,Santander,Urbana,M,18,0,,443.19
579,327,Valle,Urbana,H,16,1,522000.0,276.33
960,53,Valle,Urbana,M,27,1,1150000.0,216.95
558,194,Antioquia,Urbana,M,5,,,169.6
1092,4,Bogota,Urbana,M,39,0,,190.64
1133,36,Bogota,Urbana,H,37,1,1486000.0,298.74
103,96,Bogota,Urbana,H,44,1,827000.0,235.6
455,182,Valle,Urbana,H,70,1,1685000.0,228.61
948,7,Antioquia,Rural,H,24,1,1240000.0,154.74
760,272,Valle,Urbana,M,9,,,267.95
730,48,Bogota,Rural,M,81,1,2158000.0,287.86
632,190,Valle,Urbana,H,17,0,,351.33
1191,179,Bogota,Urbana,M,45,0,,325.61
363,203,Antioquia,Rural,H,80,0,,356.6
637,295,Antioquia,Urbana,H,66,0,,327.76
894,211,Bogota,Urbana,H,38,0,,151.03
903,204,Valle,Urbana,M,49,0,,453.49
745,74,Antioquia,Urbana,M,58,1,1388000.0,352.53
809,158,Antioquia,Rural,H,73,0,,403.82
627,226,Narino,Urbana,H,20,0,,286.38
476,394,Santander,Urbana,M,0,,,203.21
1091,222,Santander,Urbana,M,52,0,,275.0
701,227,Bogota,Urbana,H,84,1,1923000.0,288.59
675,336,Valle,Urbana,H,2,,,192.5
69,67,Antioquia,Urbana,M,46,1,1870000.0,390.14
1094,5,Antioquia,Rural,H,55,1,1762000.0,318.97
1136,109,Bogota,Rural,H,81,0,,411.24
846,347,Bogota,Rural,H,81,1,1671000.0,372.74
680,262,Valle,Urbana,H,79,1,1615000.0,479.95
603,49,Bogota,Urbana,M,10,,,196.34
253,348,Antioquia,Rural,H,66,0,,387.56
